cityCode,cityName, center code,Center name, Address,doctorCount,category, Contact number,longitude,latitude,Opening Time,Closing Time,Rush Time Start,Rush Time End,Number of Appointments,Doctor Name,Disease
11,DELHI/NCR,UN49,Shahdara Unani,"CGHS Wellness Centre No. 49, Mansarovar Park, Shahdara (Near DDA Flats), Delhi-110032",3,unani,011-22583766,77.29879761,28.680838,7:30 AM,7:30 PM,8:00 AM,10:00 AM,55,Dr. S. Kumar,Stress
135,DHERADUN,DD2,P & T Wellness Centre,"P & T Colony, Chukhuwala, Chakrata Road Dehradun (Uttarakhand).",2,alopathic,0135-2653166,78.01203918,30.310898,7:00 AM,7:00 PM,8:30 AM,10:30 AM,60,Dr. Patel,Hypertension
141,JAIPUR,JA7,VIDHYADHAR NAGAR,"Custom & Central Excise Colony, Vidhyadhar Nagar, Jaipur",5,alopathic,0141-2335850,75.78572083,26.966885,8:00 AM,8:00 PM,9:30 AM,11:30 AM,70,Dr. Gupta,Back Pain
20,PUNE,PU01,Akurdi,"GPRA QuarterNo.4/182,Central Govt. Colony Sector No.26,Pradhikaran,Akurdi, Pune – 411 044.",4,alopathic,020-27640130,73.76499939,18.651558,6:30 AM,6:30 PM,7:30 AM,9:30 AM,45,Dr. Mehta,Asthma
20,PUNE,PU03,Camp,"Chitragupta Complex, Hidayatullah Road, Pune-411 042.",2,alopathic,020-26455163,73.87445831,18.50474,9:00 AM,9:00 PM,10:00 AM,12:00 PM,50,Dr. Joshi,Cold
20,PUNE,PU05,Ganeshkhind Road,"Armament Colony, Ganeshkhind Road, Pune-411 020.",4,alopathic,020-25652045,73.82102966,18.551151,7:30 AM,7:30 PM,8:00 AM,10:00 AM,65,Dr. Agarwal,Arthritis
20,PUNE,PU08,Bajirao Road,"Anandi 1304,Shukrawar Peth,Near Wadia Hospital, Bajirao Road, Pune – 411 002.",3,alopathic,020-24471602,73.87454987,18.55219,8:00 AM,8:00 PM,9:30 AM,11:30 AM,55,Dr. Kapoor,Weight Loss
20,PUNE,PU09,G.T.Road,"6, G.T.Road, Pune-411 001",2,alopathic,020-26360020,73.87970734,18.515316,6:30 AM,6:30 PM,7:30 AM,9:30 AM,60,Dr. Mishra,Stress
22,MUMBAI,MU1,CGO New Marine Lines,"Old CGO Building, M.K. Road, (Pratishtha Bhavan) Mumbai-400 020",14,alopathic,022– 22018799,72.82796478,18.938894,9:00 AM,9:00 PM,10:30 AM,12:30 PM,50,Dr. Reddy,Hypertension
22,MUMBAI,MU17,Bhandup,"Flat No. 321 & 322, Type – IV Cite C, Central Govt. Qrts,Bhandup, Mumbai-400 078",3,alopathic,022–25619655,72.94107819,19.142601,7:00 AM,7:00 PM,8:30 AM,10:30 AM,45,Dr. Mehta,Asthma
22,MUMBAI,MU21,"Sahar, Andheri (W)","P&T Colony, Sahar, Mumbai – 400 029",2,alopathic,022–28210959,72.85985565,19.10255,7:30 AM,7:30 PM,8:00 AM,10:00 AM,55,Dr. Kapoor,Back Pain
22,MUMBAI,MU25,Jogeshwari,"Incometax Colony, Bldg No. 10-12, Jogeshwari (E), Mumbai – 400 062",1,alopathic,022–28210948,72.8575592,19.08297,8:30 AM,8:30 PM,9:00 AM,11:00 AM,60,Dr. Agarwal,Diabetes
22,MUMBAI,MU9,CLI Sion,"Central Labour Inst. Premises, Trombay Road,(Sion), Mumbai-400 022.",2,alopathic,022–24081616,72.86677551,19.04969,9:00 AM,9:00 PM,10:00 AM,12:00 PM,70,Dr. Singh,Weight Loss
33,KOLKATA,KO16,Salt Lake EB,Qrts. Nos. 81 & 82 Type CKolkata – 700064.,3,alopathic,23344849,88.4071579,22.586054,7:00 AM,7:00 PM,8:30 AM,10:30 AM,55,Dr. Joshi,Stress
33,KOLKATA,KO18,Salt Lake IC,"I C Block CGHS Complex, Type (IV) Qrts. Nos. 1 & 2, Sector-I, Salt Lake, Kolkata – 700106.   (Near Tank No -14)",10,alopathic,23353427,88.41448212,22.571302,8:00 AM,8:00 PM,9:30 AM,11:30 AM,60,Dr. Sharma,Hypertension
33,KOLKATA,KO5,Shyambazar,"7-A Kalachand Sanyal Lane,  Kolkata – 700004.     (Opposite to Shyambazar Tram Depot)",3,alopathic,25556385,88.37348938,22.599861,7:00 AM,7:00 PM,8:30 AM,10:30 AM,45,Dr. Bhatia,Back Pain
3592,GANGTOK,GK1,Gangtok,,1,alopathic,,88.60646057,27.344988,6:30 AM,6:30 PM,7:30 AM,9:30 AM,50,Dr. Gupta,Cold
361,GUWAHATI,GT1,Hengrabari,"Shankardev Nagar,Near Housing Colony,Hengrabari,Guwahati-781006",9,alopathic,0361-2269743+919435195800,94.09190369,25.665863,9:00 AM,9:00 PM,10:00 AM,12:00 PM,60,Dr. Mehta,Asthma
361,GUWAHATI,GT2,Narengi,"Mrs.Jonali Kalita,W/o Dr. Hiren Kalita, 1 No Madgharia, Narengi,Tiniali,Guwahati-781026",3,alopathic,9.20E+11,91.82079315,26.175413,8:30 AM,8:30 PM,9:30 AM,11:30 AM,55,Dr. Joshi,Arthritis
40,HYDERABAD,HY1,Charminar,"22-1-951 Noor Khan Bazaar, Hyderabad",3,alopathic,040-24525415,78.48617554,17.373007,7:00 AM,7:00 PM,8:00 AM,10:00 AM,50,Dr. Agarwal,Weight Loss
40,HYDERABAD,HY12,Dilsukhnagar,"H.No.11-7-205(4/A), HUDA Colony, Saroor Ngr, Hyderabad-500035",4,alopathic,040-24046333,78.58509827,17.363522,7:30 AM,7:30 PM,8:30 AM,10:30 AM,60,Dr. Reddy,Stress
40,HYDERABAD,HY7,Malakpet,"H.No.16-3-994/1/A/1, Opp.Officers Mess, New Malakpet, Hyderabad-500036",5,alopathic,040-27529090,78.50112152,17.371193,6:00 AM,6:00 PM,7:30 AM,9:30 AM,45,Dr. Patel,Hypertension
40,HYDERABAD,HY9,Alwal,"Pempala Towers, Old Alwal, Secunderabad",5,alopathic,040-27972563,78.5062027,17.50906,8:00 AM,8:00 PM,9:00 AM,11:00 AM,55,Dr. Mehta,Back Pain
44,CHENNAI,CH03,AVADI,Heavy Vehicles Factory Complex Avadi ,6,alopathic,044-23458403,80.10611725,13.1238575,9:00 AM,9:00 PM,10:00 AM,12:00 PM,60,Dr. Singh,Diabetes
44,CHENNAI,CH04,GOPALAPURAM,No 1  1st Street Gopalapuram Chennai,3,alopathic,044-23458404,80.26151276,13.04461,7:00 AM,7:00 PM,8:00 AM,10:00 AM,50,Dr. Sharma,Stress
471,TRIVANDRUM,TR2,Sasthamangalam,"TC 9/1580,      ""Mangalya""     Hospital Road, Sasthamangalam Trivandrum-695010",2,alopathic, 0471-2728110,76.94612122,8.533302,6:30 AM,6:30 PM,7:00 AM,9:00 AM,45,Dr. Agarwal,Back Pain
512,KANPUR,KN4,Khapra Mohal,"E-45, Khapra Mohal, Kanpur",2,alopathic,0512-2322924,80.35733795,26.455675,9:00 AM,9:00 PM,10:00 AM,12:00 PM,50,Dr. Mehta,Stress
512,KANPUR,KN6,Raksha Vihar,"Single JCOs Quarter, Raksha Vihar, Shyam Nagar, Kanpur",4,alopathic,0512-2424311,80.36140442,26.422136,7:00 AM,7:00 PM,8:00 AM,10:00 AM,60,Dr. Joshi,Asthma
512,KANPUR,KN7,Pandu Nagar,"117/H-2/28, Pandu Nagar, Kanpur",4,alopathic,0512-2217339,80.29418182,26.472935,8:30 AM,8:30 PM,9:30 AM,11:30 AM,65,Dr. Singh,Cold
522,LUCKNOW,LK7,GOL Market,"1st Flr,P Office Campus, Mahanagar Gol Market, Lucknow 226020",4,alopathic,0522-2321432,80.95939636,26.873436,6:00 AM,6:00 PM,7:30 AM,9:30 AM,55,Dr. Gupta,Hypertension
532,ALLAHABAD,AL03,Kalyani Devi,"1130/1130A Kalyani Devi, Allahabad",2,alopathic,0532-2242530,81.83385468,25.42972,7:30 AM,7:30 PM,8:00 AM,10:00 AM,60,Dr. Sharma,Weight Loss
532,ALLAHABAD,AL04,New Katra,"38 A, Beli Road, New Katra, Allahabad",3,alopathic,0532-2642457,81.85340881,25.47363,8:00 AM,8:00 PM,9:00 AM,11:00 AM,50,Dr. Reddy,Arthritis
532,ALLAHABAD,AL08,CGHS Polyclinic Sangam Place,"2nd Floor, Sangam Place, Civil Lines, Allahabad",7,alopathic,0532-2560578,81.83052063,25.450197,6:30 AM,6:30 PM,7:00 AM,9:00 AM,55,Dr. Mehta,Back Pain
651,RANCHI,RA2,KANTA TOLI,"10 A Deep Villa, Purulia Road, Ranchi, Jharkhand",3,alopathic,0651-2530244,85.34331512,23.364851,9:00 AM,9:00 PM,10:00 AM,12:00 PM,60,Dr. Kapoor,Stress
651,RANCHI,RA3,P and T COLONY LALPUR,"P & T Colony, Lalpur, Ranchi, Jharkhand",2,alopathic,0651-2562333,85.34026337,23.374857,7:00 AM,7:00 PM,8:30 AM,10:30 AM,65,Dr. Agarwal,Asthma
674,BHUBANESHWAR,BH2,KHARAVELA NAGAR,"Kharvel Nagar, Unit-III,Bhubaneswar-751001",2,alopathic,0674-2393545,85.83598328,20.272116,8:30 AM,8:30 PM,9:30 AM,11:30 AM,50,Dr. Singh,Hypertension
731,INDORE,IN1,INDORE1,,2,alopathic,,75.88589478,22.711237,7:30 AM,7:30 PM,8:00 AM,10:00 AM,60,Dr. Sharma,Weight Loss
761,JABALPUR,JB2,I.B.M. Colony,"Qtr. NO. 9-12, Type III, I.B.M. Colony, Kamla Nehru Nagar, Jabalpur",3,alopathic,0761 2416805,79.91046906,23.167952,9:00 AM,9:00 PM,10:30 AM,12:30 PM,55,Dr. Joshi,Back Pain
761,JABALPUR,JB4,Head Post Office,"Head Post Office Compound, Jabalpur",4,alopathic,2629460,79.95515442,23.161499,7:00 AM,7:00 PM,8:00 AM,10:00 AM,50,Dr. Kapoor,Cold
79,AHMEDABAD,AH01,Ashram Road,"1st Floor, S.R.House, Opp. Mount Carmel School,Ashram Road, Ahmedabad.380009",5,alopathic,079 26577393,72.56924438,23.035246,6:30 AM,6:30 PM,7:00 AM,9:00 AM,65,Dr. Gupta,Hypertension
79,AHMEDABAD,AH04,Pragatinagar,"Qtr No. M/49/289-290 Pragatinagar, Ahmedabad",4,alopathic,079 27478393,72.55476379,23.066833,7:30 AM,7:30 PM,8:30 AM,10:30 AM,60,Dr. Mehta,Asthma
79,AHMEDABAD,AH05,Meghaninagar,"Block No. 68/1615 to1620 A. G. Staff Qtrs, Meghaninagar, Ahmedabad",2,alopathic,079 22680487,72.61798096,23.054527,8:00 AM,8:00 PM,9:30 AM,11:30 AM,50,Dr. Agarwal,Stress
79,AHMEDABAD,AHH1,HOMEO ASHRAM ROAD,,1,homeo,,72.5692215,23.035244,9:00 AM,9:00 PM,10:00 AM,12:00 PM,55,Dr. Reddy,Arthritis
80,BENGALURU,BA01,Wellness Center Shivajinagar,"2nd Floor, Ganesh Towers, Infantry Road, Bangalore 560001",7,alopathic,080-25588777,77.60336304,12.980318,6:00 AM,6:00 PM,7:00 AM,9:00 AM,60,Dr. Singh,Back Pain
11,DELHI/NCR,AY3,Delhi Cantt (Ayurvedic),"Sadar Bazar, Delhi Cantt,Near Geeta Asharam,New Delhi-10",2,ayurvedic,25692914,77.12076569,28.589346,8:30 AM,8:30 PM,9:00 AM,11:00 AM,70,Dr. Mehta,Cold
11,DELHI/NCR,AY67,Laxmi Nagar Ayurvedic,"2nd Floor, CGHS Building Laxmi Nagar,   H-Block, Vikas Marg (Near Metro Station),Laxmi Nagar, Delhi-110092",3,ayurvedic,011-22543108/ 22466544,77.27727509,28.630713,7:00 AM,7:00 PM,8:30 AM,10:30 AM,55,Dr. Sharma,Hypertension
11,DELHI/NCR,AY9,AYURVEDIC WC LODHI ROAD I(ALI GANJ),,9,ayurvedic,,77.21893311,28.583834,6:30 AM,6:30 PM,7:30 AM,9:30 AM,65,Dr. Joshi,Weight Loss
11,DELHI/NCR,D17A,VIKAS PURI,"Block-QM, Vikaspuri Police Line, New Delhi-58",10,alopathic,28533441,77.0651474,28.63281,7:30 AM,7:30 PM,8:00 AM,10:00 AM,60,Dr. Kapoor,Asthma
11,DELHI/NCR,D21,Netaji Nagar,"CGHS Wellness Centre Building, Netaji Nagar, New Delhi",4,alopathic,011-24670222,77.18649292,28.572374,8:00 AM,8:00 PM,9:00 AM,11:00 AM,50,Dr. Gupta,Stress
11,DELHI/NCR,D22A,Greater Noida,"P3 Shopping complex, First floor, Greater Noida-201310",7,alopathic,0120-2447126,77.52124023,28.45142,6:00 AM,6:00 PM,7:30 AM,9:30 AM,55,Dr. Mehta,Arthritis
11,DELHI/NCR,D24,KASTURBA NAGAR-I,"CGHS Polyclinic, Kasturba Nagar, New Delhi",4,alopathic,011-24622867,77.22444916,28.577652,9:00 AM,9:00 PM,10:00 AM,12:00 PM,60,Dr. Agarwal,Back Pain
11,DELHI/NCR,D41,Malviya Nagar,"Delhi Senior Secondary School, Malviya Nagar, N.Delhi-110017",5,alopathic,011-26671494,77.2117157,28.53425,7:00 AM,7:00 PM,8:30 AM,10:30 AM,45,Dr. Joshi,Hypertension
11,DELHI/NCR,D42,Kalkaji – I,"CGHS Maternity Centre Building & Disp., Kalkaji, New Delhi",7,alopathic,011-26430851,77.25829315,28.54032,8:30 AM,8:30 PM,9:30 AM,11:30 AM,50,Dr. Reddy,Stress
11,DELHI/NCR,D48,Hari Nagar,"CGHS Hari Nagar, Near DTC Depot, Hari Nagar, New Delhi-64",6,alopathic,28125518,77.10442352,28.624546,7:30 AM,7:30 PM,8:00 AM,10:00 AM,65,Dr. Kapoor,Asthma
11,DELHI/NCR,D49,Shahdara,"CGHS Wellness Centre, Mansarovar Park, Shahdara, Delhi-32",11,alopathic,011-22583766,77.2988205,28.681366,9:00 AM,9:00 PM,10:00 AM,12:00 PM,60,Dr. Mehta,Weight Loss
11,DELHI/NCR,D54,Shakur Basti,"H.N. 2110, Police Chowki Gali, Multhani Mohalla, Rani Bagh, Delhi-56",4,alopathic,27021102,77.11525726,28.689352,7:00 AM,7:00 PM,8:30 AM,10:30 AM,50,Dr. Agarwal,Cold
11,DELHI/NCR,D64,Tri Nagar,"House No. 564, Street No. 37, Onkar Nagar-B Tri Nagar, Delhi-35",2,alopathic,27385025,77.16057587,28.67423,6:30 AM,6:30 PM,7:30 AM,9:30 AM,45,Dr. Singh,Back Pain
11,DELHI/NCR,D70,Faridabad,"CGHS Building, Neighbourhood Township-4, Near Sect 21 B, Faridabad -121001",6,alopathic,0129-2412729,77.29773712,28.405228,8:00 AM,8:00 PM,9:30 AM,11:30 AM,55,Dr. Joshi,Hypertension
11,DELHI/NCR,D76,Kali Bari,"CGHS Building, Udyan Marg, Kali Bari Marg , DIZ Area , New Delhi",7,alopathic,23743142,77.20024872,28.62901,9:00 AM,9:00 PM,10:00 AM,12:00 PM,60,Dr. Mehta,Stress
11,DELHI/NCR,D79,Vivek Vihar,"C-Block, Yojna Vihar, Near Mother Dairy, Delhi-110092",5,alopathic,011-22143551,77.31825256,28.663721,7:00 AM,7:00 PM,8:30 AM,10:30 AM,65,Dr. Agarwal,Asthma
11,DELHI/NCR,D89,Rohini-16,"Shop 4,6,7,8,9 FF, CSC-12, DDA Mkt, D-1,Sect 16 ,Rohini, Delhi-110089",5,alopathic,27894403,77.11965179,28.704538,6:30 AM,6:30 PM,7:30 AM,9:30 AM,50,Dr. Singh,Weight Loss
11,DELHI/NCR,D92,"Gurgaon, Sec-55","Sector-55, Opposite HUDA Market, Gurgaon",11,alopathic,0124-2578235,77.11043549,28.426765,8:30 AM,8:30 PM,9:00 AM,11:00 AM,55,Dr. Joshi,Arthritis
11,DELHI/NCR,D94,Sahibabad,"6/16, Sector 2, New Rajender Nagar, Sahibabad.",5,alopathic,0120-2630066,77.35012817,28.684004,9:00 AM,9:00 PM,10:30 AM,12:30 PM,60,Dr. Kapoor,Back Pain
11,DELHI/NCR,D95,Noida Sec-82,"Community Center I, Kendriya Vihar II, Plot 3, Sec. 82,  Noida201304",7,alopathic,0120-2568899,77.39177704,28.529837,7:30 AM,7:30 PM,8:00 AM,10:00 AM,60,Dr. Mehta,Hypertension
11,DELHI/NCR,HO69,HOMEOPATHIC WC RKP-III,,3,homeo,,77.17884827,28.554304,6:00 AM,6:00 PM,7:30 AM,9:30 AM,45,Dr. Agarwal,Stress
11,DELHI/NCR,HO7,Timarpur Homeopathic,"CGHS Hospital/ Wellness Centre Timarpur, Lucknow Road, Opp. Patrachar Building, Delhi-54",2,homeo,011-23813808,77.22166443,28.706379,8:00 AM,8:00 PM,9:00 AM,11:00 AM,55,Dr. Reddy,Arthritis
11,DELHI/NCR,RML,DR. RML HOSPITAL,,50,alopathic,,77.19872284,28.624563,7:00 AM,7:00 PM,8:30 AM,10:30 AM,60,Dr. Joshi,Cold
121,MEERUT,MR2,Shastri Nagar,"G-Block, Shastri Nagar, Meerut",2,alopathic,0121-2641320,77.7321167,28.95477,9:00 AM,9:00 PM,10:00 AM,12:00 PM,55,Dr. Mehta,Back Pain
121,MEERUT,MR6,Lekha Nagar,"DAD Quarters, Lekha Nagar, Meerut Cantt",2,alopathic,0121-2647895,77.70626068,29.01349,7:30 AM,7:30 PM,8:00 AM,10:00 AM,65,Dr. Agarwal,Stress
141,JAIPUR,JA1,Chaura Rasta,"1st Floor, Chandan Mahal, Chaura Rasta, Jaipur",2,alopathic,0141-2329927,75.82113647,26.918316,6:00 AM,6:00 PM,7:00 AM,9:00 AM,45,Dr. Singh,Weight Loss
141,JAIPUR,JA5,Jyoti Nagar,"Income Tax Colony, Jyoti Nagar, Jaipur",6,alopathic,0141-2743263,75.79559326,26.89531,8:00 AM,8:00 PM,9:30 AM,11:30 AM,50,Dr. Kapoor,Hypertension
22,MUMBAI,MU15,Deonar,"Deonar Post Office Bldg Telecom Factory, Town ship compound, Deonar,Mumbai – 400 088",2,alopathic,022–25512137,72.91854095,19.045315,6:00 AM,6:00 PM,6:30 AM,8:30 AM,47,Dr. Kapoor,Stress
22,MUMBAI,MU20,Kandivali,"D-1/2, Lekha Vihar,Sector 5, Charkop, Kandivli (West),Mumbai – 400 067.",5,alopathic,022–28677353,72.82310486,19.215654,8:15 AM,8:15 PM,9:30 AM,11:30 AM,62,Dr. Agarwal,Hypertension
22,MUMBAI,MU26,Seepz,"Seepz Qtrs Complex, Qtrs. No. C-1, C-2, Andheri (E),Mumbai 400 096.",2,alopathic,022–28365751,72.87551117,19.128706,7:45 AM,7:45 PM,8:15 AM,10:15 AM,54,Dr. Singh,Cold
22,MUMBAI,MU27,Nepean Sea Road,"Hyderabad Estate, N.S. Road, Mumbai – 400 006",1,alopathic,022–23641816,72.80034637,18.956367,9:30 AM,9:30 PM,10:30 AM,12:30 PM,63,Dr. Sharma,Back Pain
33,KOLKATA,KO1,Belvedere,"Flat no. 68, Belvedere Estate, Kolkata – 700 027.(Near Alipore Zoo/Command Hospital)",3,alopathic,24791153,88.34654999,22.52668,7:00 AM,7:00 PM,8:30 AM,10:30 AM,56,Dr. Joshi,Stress
33,KOLKATA,KO13,Airport,"New Quarters,Dum Dum, Kolkata 700052. (Nr. Airport Gate no-1)",5,alopathic,25119442,88.42630005,22.63621,6:45 AM,6:45 PM,7:00 AM,9:00 AM,59,Dr. Mehta,Arthritis
33,KOLKATA,KO2,Lake Area,"Lake Govt. Qrts. Fl. No. 55 & 56 Southern Ave., Kolkata – 700029.     (Near Kamala Girl’s School / Vivekananda Park)",3,alopathic,24661733,88.35822296,22.514097,7:00 AM,7:00 PM,8:00 AM,10:00 AM,61,Dr. Kapoor,Asthma
33,KOLKATA,KO4,Narkeldanga,Flat No. 27 & 28 Narkeldanga Govt. Qrts. Kolkata – 700054.  (Opposite to Phool Bagan Police Station),3,alopathic,23203998,88.39266205,22.573692,8:30 AM,8:30 PM,9:30 AM,11:30 AM,66,Dr. Patel,Weight Loss
361,GUWAHATI,GT5,Beharbari,"A.G. Residential Complex, Beharbari,Guwahati-781029",3,alopathic,7896020538,91.77283478,26.115187,9:00 AM,9:00 PM,10:00 AM,12:00 PM,53,Dr. Kumar,Hypertension
385,IMPHAL,IM1,Imphal,,2,alopathic,,93.95159149,24.797945,6:30 AM,6:30 PM,7:15 AM,9:15 AM,57,Dr. Reddy,Back Pain
40,HYDERABAD,HY2,Humayunnagar,"Sharadanagar Colony, Gudimal Kapur, Hyderabad-500028",5,alopathic,040-23531833,78.43933105,17.38202,7:30 AM,7:30 PM,8:30 AM,10:30 AM,62,Dr. Agarwal,Arthritis
40,HYDERABAD,HY3,Secunderabad,"Ground Floor, CGO Towers, Kavadiguda, Secunderabad",6,alopathic,040-27708898,78.49386597,17.423944,6:15 AM,6:15 PM,7:30 AM,9:30 AM,49,Dr. Sharma,Stress
40,HYDERABAD,HY4,Begumpet,"Kendriya Swasthya Bhavan, Be Gumpet, Hyderabad-500016",6,alopathic,040-27904259,78.47244263,17.445042,8:00 AM,8:00 PM,9:00 AM,11:00 AM,60,Dr. Singh,Asthma
40,HYDERABAD,HY5,Himayatnagar,"Oilseeds Quarters Type-1, Behind Lady Hydri Club, Himayatnagar, Hyderabad-500029",4,alopathic,040-23220454,78.47788239,17.40563,7:45 AM,7:45 PM,8:15 AM,10:15 AM,68,Dr. Joshi,Weight Loss
40,HYDERABAD,HY8,Kanchanbagh,"DRDO Complex Kanchanbagh,Hyderabad-500058",7,alopathic,040-24340299,78.50588226,17.337795,6:30 AM,6:30 PM,7:00 AM,9:00 AM,51,Dr. Kapoor,Back Pain
413,PONDICHERRY,PD1,PUDUCHERRY,,2,alopathic,,79.79619598,11.939653,8:15 AM,8:15 PM,9:30 AM,11:30 AM,55,Dr. Reddy,Hypertension
44,CHENNAI,CH07,MEENAMBAKKAM,DGQA Complex Meenambakkam Chennai ,5,alopathic,044-23458407,80.17644501,12.980883,9:00 AM,9:00 PM,10:00 AM,12:00 PM,63,Dr. Patel,Stress
471,TRIVANDRUM,TR1,Kesavadasapuram,"TC 3/120, Kesavadasapuram, Thiruvananthapuram",5,alopathic,0471-2443452,76.9407196,8.533119,6:45 AM,6:45 PM,7:30 AM,9:30 AM,58,Dr. Sharma,Arthritis
512,KANPUR,KN3,Civil Lines,"15/45 (A&B) Civil Lines, Kanpur",2,alopathic,0512-2306876,80.34627533,26.475863,7:15 AM,7:15 PM,8:00 AM,10:00 AM,64,Dr. Agarwal,Weight Loss
522,LUCKNOW,LK10,AYURVEDIC LUCKNOW,,2,ayurvedic,,80.94749451,26.83356,6:00 AM,6:00 PM,6:30 AM,8:30 AM,60,Dr. Mehta,Asthma
522,LUCKNOW,LK6,Lucknow6,"1/10 Sector A, Sitapur Rd, Aliganj Lucknow 226024",8,alopathic,0522-2745246,80.94458771,26.904528,8:30 AM,8:30 PM,9:30 AM,11:30 AM,62,Dr. Singh,Hypertension
532,ALLAHABAD,AL01,Jawahar Lal Nehru Road,"41, Jawahar Lal Nehru Road, Allahabad",4,alopathic,0532-2468188,81.86323547,25.451668,7:45 AM,7:45 PM,8:15 AM,10:15 AM,59,Dr. Joshi,Stress
532,ALLAHABAD,AL06,Leader Road,"46/38 Leader Road, Allahabad",2,alopathic,0532-403822,81.83309174,25.443272,6:15 AM,6:15 PM,7:00 AM,9:00 AM,55,Dr. Kapoor,Back Pain
532,ALLAHABAD,AL07,Naini,"236/101-C /1 Chok Daud Nagar Near Swadeshi Cotton Mills, Naini, Allahabad",2,alopathic,0532-2697132,81.86972809,25.39662,7:30 AM,7:30 PM,8:30 AM,10:30 AM,61,Dr. Patel,Weight Loss
612,PATNA,PA3,Salimpur Dumra,"Central Revenue Colony, Salimpur Dumra, Ashiana Nagar, Patna",7,alopathic,0612-2582998,85.08421326,25.617695,6:45 AM,6:45 PM,7:15 AM,9:15 AM,50,Dr. Agarwal,Asthma
